,AREA,POÃ‡O,ID_INTERVALO,ATRIB_MED1,ATRIB_MAX1,ATRIB_DIST1,DIFP,MGP1,MGP2,MGP3,MGP4,MGP5,MGP6,MGP7,MGP8,MGP9,MGP10,MGP11,MGP12,MGP13,MGP14,Perda30,PerdaAPI,PerdaPS,PERDA_MAX
65,C3,C3P7,B1,0.57,0.95,0.0,0.55,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,140.0
97,C4,C4P9,A3,0.08,0.27,262.8,1.0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,30.0
47,C3,C3P1,B1,0.34,0.95,350.0,1.77,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,10.0
55,C3,C3P4,A3,0.38,0.95,145.0,1.29,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,14.0
19,C2,C2P1,A3,0.94,0.95,0.0,1.2774,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,400.0
92,C4,C4P7,B1,0.44,0.81,25.0,0.52,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,14.0
54,C3,C3P4,A1,0.05,0.07,1000.0,1.01,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0.0
64,C3,C3P7,A3,0.24,0.94,201.0,0.39,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,16.0
111,C4,C4P14,A1,0.05,0.05,1000.0,0.44,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0.0
20,C2,C2P1,B1,0.48,0.95,40.0,1.1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,70.0
83,C4,C4P4,B1,0.35,0.95,25.0,1.147,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,20.0
11,C1,C1P3,A3,0.26,0.95,120.0,0.363,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,60.0
76,C4,C4P2,A3,0.17,0.66,397.85,1.26,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0.0
101,C4,C4P10,B1,0.05,0.05,350.22,0.76,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0.0
38,C2,C2P6,A2,0.05,0.05,1000.0,0.53,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0.0
28,C2,C2P3,B1,0.05,0.05,1000.0,0.235,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0
85,C4,C4P5,A3,0.11,0.33,206.16,0.17,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,30.0
14,C1,C1P4,A2,0.06,0.14,238.0,0.9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0
81,C4,C4P4,A1,0.05,0.05,1000.0,0.794,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0
108,C4,C4P13,A1,0.06,0.18,1000.0,0.43,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0.0
89,C4,C4P6,B1,0.37,0.95,125.0,0.92,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,4.0
123,C4,C4P18,A1,0.3,0.95,409.46,0.74,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.0
125,C4,C4P18,B1,0.06,0.17,168.17,0.7,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.0
40,C2,C2P6,B1,0.09,0.28,1000.0,0.57,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,11.0
12,C1,C1P3,B1,0.05,0.05,1000.0,0.35,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,300.0
63,C3,C3P7,A1,0.21,0.92,150.0,0.74,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,200.0
22,C2,C2P2,A2,0.08,0.23,35.0,0.094,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,60.0
42,C2,C2P7,A2,0.09,0.26,205.0,0.6729999999999999,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0.0
115,C4,C4P15,A3,0.26,0.95,277.55,0.47,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0
119,C4,C4P16,B1,0.18,0.95,1000.0,0.67,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0.0
43,C2,C2P7,A3,0.42,0.91,50.0,0.667,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0.0
78,C4,C4P3,A1,0.05,0.05,566.79,0.6559999999999999,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,400.0
25,C2,C2P3,A1,0.05,0.05,488.0,0.17,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0
62,C3,C3P6,B1,0.4,0.95,190.0,0.53,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.0
60,C3,C3P6,A1,0.27,0.95,302.0,0.62,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,350.0
124,C4,C4P18,A3,0.08,0.33,162.98,0.68,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.0
